name,type,district,sub_district,address,phone,email,website,operator,lat,lon,osm_id,source
Community Health Centre Porunnanore,Community Health Centre (CHC),Wayanad,,"Kattichira Maqam Road, Peechamkode, 670732",,,,Department of Health Services,11.7510286,76.0048247,node/2000118622,OpenStreetMap
Community Health Centre Ramapuram,Community Health Centre (CHC),Kottayam,,"community health center Ramapuram, Ramapuram- Pizhaku road, Ramapuram, 686576",+91-4822-263806,,,Department of Health and Family Welfare,9.8022635,76.6623757,node/5518921573,OpenStreetMap
Community Health Centre Ranni Perunnadu,Community Health Centre (CHC),Pathanamthitta,,,,,,Department of Health and Family Welfare,9.3678012,76.8553176,node/3804590000,OpenStreetMap
Community Health Centre Sooranadu,Community Health Centre (CHC),Kollam,,,,,,Department of Health and Family Welfare,9.1043094,76.6243037,way/863574995,OpenStreetMap
Community Health Centre Thalakulathur,Community Health Centre (CHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.3517241,75.7626674,way/800627589,OpenStreetMap
Community Health Centre Thariyode,Community Health Centre (CHC),Wayanad,,,,,,,11.6553728,75.9958546,way/846674090,OpenStreetMap
Community Health Centre Thiruvalloor,Community Health Centre (CHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.5915919,75.6725996,node/8998310250,OpenStreetMap
Community Health Centre Thrikkadavoor,Community Health Centre (CHC),Kollam,,,,,,Department Of Health Services,8.9261564,76.59787,node/9163115792,OpenStreetMap
Community Health Centre Thrikkadavur,Community Health Centre (CHC),Kollam,,0474-2706069,,,,Department of Health and family Welfare,8.9261452,76.5979116,way/799243897,OpenStreetMap
Community Health Centre Thrikkunnapuzha,Community Health Centre (CHC),Alappuzha,,,,,,Department of Health and Family Welfare,9.2598151,76.4109582,way/800697829,OpenStreetMap
Community Health Centre Thriprayar,Community Health Centre (CHC),Thrissur,,"Thriprayar-Cherpu Road, Thanniyam, Peringottukara, 680564",+91 487 2397555,chcthriprayar@gmail.com,,government,10.4140051,76.1219716,node/7121494749,OpenStreetMap
Community Health Centre Ulliyeri,Community Health Centre (CHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.4435486,75.7721347,way/880561642,OpenStreetMap
Community Health Centre Vadakkekkad,Community Health Centre (CHC),Thrissur,,"Guruvayoor - Althara - Ponnani Road;Vadakkekad-Kochanoor Road, Vadakkekad;Guruvayur, 679562",+91-487-2541167,chcvkd@gmail.com,,government,10.6627037,76.0035149,way/958154106,OpenStreetMap
Community Health Centre Vadakkenchery,Community Health Centre (CHC),Palakkad,,,,,,Department of Health and Family Welfare,10.5893781,76.4910164,way/863711204,OpenStreetMap
Community Health Centre Vadavucode,Community Health Centre (CHC),Ernakulam,,"Ashupathripadi - Choyikaramukal Rd, Vadavucode, 682310",,,,Department of Health Services,9.9774466,76.4270011,way/950011080,OpenStreetMap
Community Health Centre Vakkom,Community Health Centre (CHC),Thiruvananthapuram,,,+91 470 2653862,movakkom@gmail.com,,Department of Health services,8.6893651,76.7640592,way/799175354,OpenStreetMap
Community Health Centre Valapad,Community Health Centre (CHC),Thrissur,,"Valappad, Chavakkad, 680567",+91 487 2392553,chccalappad@yahoo.com,,government,10.4005509,76.117666,way/991840667,OpenStreetMap
Community Health Centre Valayam,Community Health Centre (CHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.7221635,75.6683081,way/804101294,OpenStreetMap
Community Health Centre Vallana,Community Health Centre (CHC),Pathanamthitta,,,,,,DHS,9.2977419,76.6679756,way/799270955,OpenStreetMap
Community Health Centre Vallana,Community Health Centre (CHC),Pathanamthitta,,"vallana, pathanamthitta, kerala, 689504",,,,DHC,9.3156524,76.6680528,way/905841988,OpenStreetMap
Community Health Centre Vandanmedu,Community Health Centre (CHC),Idukki,,,,,,Department of Health and Family Welfare,9.6978127,77.1619955,way/743308110,OpenStreetMap
Community Health Centre Vandiperyar,Community Health Centre (CHC),Idukki,,,,,,Department of Health and Family Welfare,9.5720991,77.0895717,node/8995791014,OpenStreetMap
Community Health Centre Varapetty,Community Health Centre (CHC),Ernakulam,,,,,,,10.0489598,76.6263478,node/8889686729,OpenStreetMap
Community Health Centre Vathikudy,Community Health Centre (CHC),Idukki,,"Pathinaramkandam, Pathinaramkandam",,,,government,9.8911357,77.0092779,node/9084268067,OpenStreetMap
Community Health Centre Vellanikkara,Community Health Centre (CHC),Thrissur,,"Vellanikkara, VELLANIKKARA;Thrissur, 680654",+91-487-2374088,phcvellanikkara@yahoo.in,,Government Authorities,10.5448754,76.2880369,way/866748951,OpenStreetMap
Community Health Centre Vengoor,Community Health Centre (CHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.1412957,76.5494889,node/8998310241,OpenStreetMap
Community Health centre Vengoor,Community Health Centre (CHC),Ernakulam,,,,,,,10.1493904,76.5420108,way/617773107,OpenStreetMap
"Community Health Centre, Ambalapuzha",Community Health Centre (CHC),Alappuzha,,,+91-477 2272129,,,Department of Health and Family Welfare,9.3842458,76.3542936,node/7478050450,OpenStreetMap
"Community Health Centre, Anchal 3.0 (1)",Community Health Centre (CHC),Kollam,,0475-2273560,,,,Department of Health and Family Welfare,8.9288799,76.914492,way/799615604,OpenStreetMap
"Community Health Centre, Anchuthengu",Community Health Centre (CHC),Thiruvananthapuram,,"Chilakkoor_Vallakkadavu Road, Anchuthengu, 695309",,,,Department of Health and Family Welfare,8.6629799,76.7638671,way/799307872,OpenStreetMap
"Community Health Centre, Anthikkad",Community Health Centre (CHC),Thrissur,,"Anthikkad centre, Thrissur, 680641",+91-487-2633799,ghanthikad@gmail.com,,Government Authorities,10.4580529,76.1201288,node/7103918674,OpenStreetMap
"Community Health Centre, Azhikode",Community Health Centre (CHC),Kannur,,,,,,,11.9189302,75.3346572,node/8857631468,OpenStreetMap
"Community Health Centre, Azhikode",Community Health Centre (CHC),Kannur,,,+914972776485,,,Government,11.918521,75.3344855,way/799719185,OpenStreetMap
"Community Health Centre, Badiadka",Community Health Centre (CHC),Kasaragod,,"Badiyadka, 671551",,,,Department of Helth Service,12.5839889,75.0727617,way/798635459,OpenStreetMap
"Community Health Centre, Bedadka",Community Health Centre (CHC),Kasaragod,,,,,,Kerala Govt. Health Department,12.4603848,75.1674308,way/726069231,OpenStreetMap
"Community Health Centre, Chathenkary",Community Health Centre (CHC),Pathanamthitta,,"kunnamthanam, pathanamthitta, kerala, 689112",,,,Department of Health and Family Welfare,9.3793107,76.5248174,way/640095320,OpenStreetMap
"Community Health Centre, Chavara",Community Health Centre (CHC),Kollam,,"Titanium Jn., Chavara, 691583",,,,Government,9.000662,76.5365233,way/1064084294,OpenStreetMap
"Community Health Centre, Cheruvady",Community Health Centre (CHC),Kozhikode,,,,,,,11.273019,75.9861862,way/880463076,OpenStreetMap
"Community Health Centre, Chungathara",Community Health Centre (CHC),Malappuram,,,,,,Deparment of Health and Family Welfare,11.3362795,76.2859963,way/799191536,OpenStreetMap
"Community Health Centre, Edavanna",Community Health Centre (CHC),Malappuram,,,,,,DHS (Department of Health Services),11.2116456,76.1484827,way/799188263,OpenStreetMap
"Community Health Centre, Elanthoor",Community Health Centre (CHC),Pathanamthitta,,,,,,,9.299333,76.7316321,way/965560564,OpenStreetMap
"Community Health Centre, Enadimangalam",Community Health Centre (CHC),Pathanamthitta,,"chc enadimangalam road, EQlamannoor, 691524",,,,Department of Health and family Welfare,9.1228827,76.8204604,way/799745774,OpenStreetMap
"Community Health Centre, Ezhumattoor",Community Health Centre (CHC),Pathanamthitta,,,,,,DHS,9.4276496,76.6976802,way/799735346,OpenStreetMap
"Community Health Centre, Kalady",Community Health Centre (CHC),Ernakulam,,,,,,Department of Health Services,10.1689338,76.4323662,way/973114776,OpenStreetMap
"Community Health Centre, Kalikavu",Community Health Centre (CHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVIVES,11.1713108,76.3242993,way/799452563,OpenStreetMap
"Community Health Centre, Kanjeettukara",Community Health Centre (CHC),Pathanamthitta,,,,,,,9.3636632,76.7252301,way/936678437,OpenStreetMap
"Community Health Centre, Karuvarakundu",Community Health Centre (CHC),Malappuram,,,,,,government,11.1123289,76.3443395,way/863357716,OpenStreetMap
"Community Health Centre, Koothattukulam",Community Health Centre (CHC),Ernakulam,,,,,,,9.8643508,76.5962708,node/9468240758,OpenStreetMap
"Community health centre, Koottumugham",Community Health Centre (CHC),Kannur,,,,,,Government,12.0530469,75.5347971,node/7479157283,OpenStreetMap
"Community Health Centre, Koppam",Community Health Centre (CHC),Palakkad,,,,,,,10.8697643,76.1892208,way/505230168,OpenStreetMap
"Community Health Centre, Kottakkal",Community Health Centre (CHC),Malappuram,,,,,,DEPARTMENT OF HEALTH SERVICES,10.9946048,75.9961134,way/800007244,OpenStreetMap
"Community Health Centre, Kulathupuzha",Community Health Centre (CHC),Kollam,,0475-2319166,,,,Department of Health Services,8.9065197,77.0578336,way/799244653,OpenStreetMap
"Community Health Centre, Kuzhalmannam",Community Health Centre (CHC),Palakkad,,,,,,,10.7154953,76.5968383,node/10770068960,OpenStreetMap
"Community Health Centre, Manamboor",Community Health Centre (CHC),Thiruvananthapuram,,,,,,Department of Health and Family Welfare,8.7321856,76.7910598,way/941808416,OpenStreetMap
"Community Health Centre, Melattur",Community Health Centre (CHC),Malappuram,,,,,,DHS,11.052046,76.281732,way/965582938,OpenStreetMap
"Community Health Centre, Meppady",Community Health Centre (CHC),Wayanad,,,,,,Department of Health Services,11.6202435,76.2099125,way/799282620,OpenStreetMap
"Community Health Centre, Muliyar",Community Health Centre (CHC),Kasaragod,,"Cherkala - Jalsoor Road, Bovikkanam, 671542",,,,Department of health service,12.5086788,75.0963086,node/7472666046,OpenStreetMap
"Community Health Centre, Neduva",Community Health Centre (CHC),Malappuram,,,,,,DHS,11.0769317,75.8518944,way/803753013,OpenStreetMap
"Community Health Centre, Oachira",Community Health Centre (CHC),Kollam,,0476-2690226,,,,Department of Health Services,9.1286667,76.5364687,way/799249664,OpenStreetMap
"Community health centre, Oduvallithattu",Community Health Centre (CHC),Kannur,,Pathipalam - Cheruvanchery Road,,,,Government,12.1372938,75.4405534,node/7479073829,OpenStreetMap
"Community Health Centre, Pappinisseri",Community Health Centre (CHC),Kannur,,,,,,government,11.9479824,75.3549316,way/799717742,OpenStreetMap
"Community Health Centre, Pathanapuram",Community Health Centre (CHC),Kollam,,,,,,Department of Health and family Welfare,9.094141,76.8590372,node/8323506448,OpenStreetMap
"Community Health Centre, Pazambalacode",Community Health Centre (CHC),Palakkad,,,,,,Department of Health and Family Welfare,10.6924426,76.4526494,way/863719673,OpenStreetMap
"Community Health Centre, Periya",Community Health Centre (CHC),Kasaragod,,,,,,Department of Helth Service,12.4018032,75.0997194,way/799031864,OpenStreetMap
"Community Health Centre, Peruvallur",Community Health Centre (CHC),Malappuram,,,,,,Department of Health and Family Welfare,11.1040174,75.9251656,node/8998310247,OpenStreetMap
"Community health Centre, Peruvallur",Community Health Centre (CHC),Malappuram,,,,,,DHS(DEPARTMENT OF HEALTH SERVICES),11.1200658,75.9402171,way/799397911,OpenStreetMap
"Community Health Centre, Pulpally",Community Health Centre (CHC),Wayanad,,,,,,Department of Health Services,11.782553,76.1622556,way/799283331,OpenStreetMap
"Community Health Centre, Ramapuram",Community Health Centre (CHC),Kottayam,,,+914822263806,,,,9.8031954,76.6626526,way/1015084751,OpenStreetMap
"Community Health Centre, Sachivothampuram",Community Health Centre (CHC),Kottayam,,,,,,,9.5081482,76.5265692,node/7333913403,OpenStreetMap
"Community Health Centre, Thrikkanapuram",Community Health Centre (CHC),Malappuram,,,,,,Department of Health Services,10.8521542,75.9839016,way/799465911,OpenStreetMap
"Community health centre, Upputhara",Community Health Centre (CHC),Idukki,,,,,,government,9.7106613,77.0130364,node/8049692737,OpenStreetMap
"Community Health Centre, Valavannur",Community Health Centre (CHC),Malappuram,,,,,,DHS,10.9372989,75.9759814,way/981015235,OpenStreetMap
"Community Health Centre, Varapuzha",Community Health Centre (CHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.0566983,76.3018712,node/8889544551,OpenStreetMap
"Community Health Centre, Vechoochira",Community Health Centre (CHC),Pathanamthitta,,,,,,,9.4248646,76.8531285,node/3812199103,OpenStreetMap
"Community Health Centre, Vengara",Community Health Centre (CHC),Malappuram,,,,,,Department of Health and Family Welfare,11.0495047,75.9841039,way/747428293,OpenStreetMap
"Community Health Centre, Vengola",Community Health Centre (CHC),Ernakulam,,,,,,Department of Health and Family Welfare,10.0814849,76.4614122,node/8889666729,OpenStreetMap
"Community Health Centre, Vilappil",Community Health Centre (CHC),Thiruvananthapuram,,"Sasthampara-Vilappilsala road, Villapilshala, 695573",,,,Department of Health services,8.5184908,77.0408964,way/799300673,OpenStreetMap
"Community Health Centre,Cheruvathoor",Community Health Centre (CHC),Kasaragod,,"Kasargod-Kannur-Calicut Highway, Cheruvaththur, 671313",,,,Department of health service,12.2158549,75.1628134,node/7471520820,OpenStreetMap
"Community Health Centre,Mangalathuthazham",Community Health Centre (CHC),Ernakulam,,,,,,,9.8587378,76.6031446,node/9254980827,OpenStreetMap
"Community Health Centre,Mankada",Community Health Centre (CHC),Malappuram,,,,,,,11.0167907,76.1725938,way/963600423,OpenStreetMap
"Community Health Centre,Palode",Community Health Centre (CHC),Thiruvananthapuram,,"Thiruvanathapuram - Thenmala Road, Thiruvananthapuram, 695562",,,,Department of Health and Family Welfare,8.7158118,77.0281425,way/933705332,OpenStreetMap
"Community Health Centre,Thiruvallur",Community Health Centre (CHC),Kozhikode,,,,,,,11.6019522,75.6452967,way/880553732,OpenStreetMap
"Community Health Centre,Velinalloor",Community Health Centre (CHC),Kollam,,0474-2467167,,,,Department of Health and Family Welfare,8.8750872,76.7780714,way/799251390,OpenStreetMap
Darul Hijama,Clinic,Kasaragod,,"fish market,fort road, Railway Station Road, Kasaragod, 671121",,,,Public,12.4989927,74.9875813,node/7357461102,OpenStreetMap
Daya General Hospital & Speciality Surgical Centre,General Hospital,Thrissur,,,,,,,10.5459875,76.2148752,way/956125652,OpenStreetMap
Deepam Balika Bhavan Mekozhoor,Rehabilitation,Pathanamthitta,,"Mekozhoor, Pathanamthitta, 689678",,,,Government,9.3153533,76.7953446,way/835062902,OpenStreetMap
desamangalam govt. hospital,Hospital,Thrissur,,,,,,,10.7545764,76.2311613,node/7121413891,OpenStreetMap
DHC,Hospital,Pathanamthitta,,,,,,government,9.4556118,76.6416855,way/798933725,OpenStreetMap
District Early Intervention Centre,Hospital,Wayanad,,,,,,,11.6342526,76.0895455,node/10113293168,OpenStreetMap
District Hospital A A Rahim Memorial Kollam,District Hospital,Kollam,,,,,,Department of Health Services,8.8890329,76.5851898,way/784991355,OpenStreetMap
District Hospital Aluva,District Hospital,Ernakulam,,,,,,Department of Health and Family Welfare,10.1054137,76.3549958,way/934250913,OpenStreetMap
District Hospital Idukki,District Hospital,Idukki,,,,,,,9.848388,76.960646,node/9918267552,OpenStreetMap
District Hospital Kozencherry,District Hospital,Pathanamthitta,,"Kozhencherry, 689641",,,,Department of Health and Family Welfare,9.3357869,76.7064552,way/799056945,OpenStreetMap
District Hospital Mananthavady,District Hospital,Wayanad,,,,,,Department of Health and Family Welfare,11.8003707,76.0012011,way/960661790,OpenStreetMap
District Hospital Mavelikkara,District Hospital,Alappuzha,,"Mavelikkara - Kozhencherry Road, mavelikara",,,,Department of Health and Family Welfare,9.2572662,76.5519097,way/801507262,OpenStreetMap
District Hospital Nedumangadu,District Hospital,Thiruvananthapuram,,,,,,,8.6038145,77.0005619,way/886155521,OpenStreetMap
District Hospital Perinthalmanna,District Hospital,Malappuram,,Perintalmanna,,,,Department of Health and Family Welfare,10.9741608,76.2319691,way/403938883,OpenStreetMap
"District Hospital, Kanhangad",District Hospital,Kasaragod,,,,,,Department of Helth Service,12.314811,75.1048097,way/462534126,OpenStreetMap
"District Hospital, Thrissur",District Hospital,Thrissur,,"Thrissur, High Road, Thrissur, 680001",+91 487 2427778,districthospitalthrissur@gmail.com,,Government of Kerala,10.5229301,76.2174171,node/3856138162,OpenStreetMap
"District Hospital, Tirur",District Hospital,Malappuram,,,,,,,10.9120792,75.9222024,way/976890334,OpenStreetMap
District Medical Office  Pathanamthitta,Alternative,Pathanamthitta,,,+91-4682324337,,,Government,9.2748066,76.7825089,way/1085563405,OpenStreetMap
"District Medical Office (ISM), Kottayam",Alternative,Kottayam,,"Palace Road, kottayam, 686001",,,,government,9.5858268,76.5207245,node/7468529981,OpenStreetMap
District medical office Alappuzha,Alternative,Alappuzha,,Alappuzha,+91-4772252965,,,Government,9.5019941,76.3424487,way/996558615,OpenStreetMap
District Medical Office Idukki,Alternative,Idukki,,,+91-4862232318,,,government,9.8480002,76.9421636,way/498450999,OpenStreetMap
District Medical Office Kannur,Alternative,Kannur,,"kannur, 670 002",+91-497 - 2700911,,,Government,11.8743374,75.3718378,way/1085772436,OpenStreetMap
District Medical Office kottayam,Alternative,Kottayam,,,+91-4812568118,,,Government,9.5858382,76.5207324,way/1085572573,OpenStreetMap
District Medical Office Kozhikode,Alternative,Kozhikode,,673020,+91-4952371486,,,Government,11.2837811,75.7913982,way/1085754423,OpenStreetMap
"District Medical Office, (ISM),  Kollam",Alternative,Kollam,,,+91-4742763044,,,Government,8.8971763,76.5902476,way/1085752861,OpenStreetMap
"District Medical Office, (ISM), Palakkad",Alternative,Palakkad,,Palakkad,+91-4912544296,,,Government,10.7750866,76.6579938,way/997330249,OpenStreetMap
"District Medical Office, Malappuram",Alternative,Malappuram,,Malappuram,+91-4832734852,,,Government,11.042414,76.0780539,way/997334453,OpenStreetMap
District Model Hospital Peroorkada,Hospital,Thiruvananthapuram,,,,,,Department of Health and Family Welfare,8.5350403,76.9656985,way/817489163,OpenStreetMap
District Public Health Lab,Clinic,Wayanad,,,,,,,11.6589111,76.2637764,node/7998928255,OpenStreetMap
District TB Centre,Hospital,Kozhikode,,,,,,,11.2548936,75.7989023,node/10656700009,OpenStreetMap
District TB Centre,Hospital,Kozhikode,,,,,,Department of Health and Family Welfare,11.2548983,75.7995949,way/800679976,OpenStreetMap
District TB Centre Alappuzha,Hospital,Alappuzha,,,+91-477 2252861,,,Department Of Health Services,9.4913399,76.341099,way/800652382,OpenStreetMap
District TB Centre Karuvelipady,Hospital,Ernakulam,,,,,,Department of Health and Family Welfare,9.9419341,76.2602654,way/827587548,OpenStreetMap
District TB Centre Kollam,Hospital,Kollam,,"0474-2748985, 691001",,,,Department of Health Services,8.8880976,76.5883199,node/7477971537,OpenStreetMap
District TB Centre Kottayam,Hospital,Kottayam,,,,,,Department of Health Services,9.5912214,76.5266606,way/801577460,OpenStreetMap
District TB Centre Thiruvananthapuram,Hospital,Thiruvananthapuram,,,,,,Department of Health and Family Welfare,8.4997552,76.9436423,way/956295127,OpenStreetMap
"District TB Centre, Kannur",Hospital,Kannur,,,,,,,11.892471,75.3707328,way/979948619,OpenStreetMap
"District TB Centre, Kasaragod",Hospital,Kasaragod,,"DTBC, Nayaks Road, Kasaragod, 671121",,,,Department of health service,12.5037555,74.9918038,way/788849284,OpenStreetMap
"District TB Centre, Kozhencherry",Hospital,Pathanamthitta,,,,,,Department of Health Service,9.3352789,76.7066606,way/946231329,OpenStreetMap
"District TB Centre, Manjeri",Hospital,Malappuram,,"Kozhikode - Nilmbur - Gudallur Road, Cherani",,,,DHS ( Department of Health Services),11.1375182,76.1152262,way/799461020,OpenStreetMap
"District TB Centre,Ponnani",Hospital,Malappuram,,,,,,DHS (Department of Health Services),10.7699624,75.9242723,way/799463547,OpenStreetMap
"District TB Centre,Thrissur",Hospital,Thrissur,,"St Thomas College Road, Thrissur, 680001",,,,Government of Kerala,10.5230987,76.2182375,way/649481801,OpenStreetMap
Dr athira's Medicare Family Health Clinic,Family Health Centre (FHC),Pathanamthitta,,"Manthanam, 689581",,,,,9.4474682,76.5983632,node/7466365058,OpenStreetMap
Dr. Jooly's Dental Clinic,Clinic,Ernakulam,,,,,,Dr.Jooly George,10.0635809,76.6224006,node/7464471401,OpenStreetMap
Dr. Somervell Memorial CSI Medical College & Hospital,Medical College,Thiruvananthapuram,,"Karakonam, Neyattinkara, Kerala, 695504",,academics@smcsimch.ac.in,https://www.smcsimch.ac.in/index.php,,8.3910601,77.1737419,way/956081583,OpenStreetMap
E K Nayanar Memorial Government Hospital for Mother & Children,Hospital,Kannur,,,,,,,11.9917762,75.3883188,way/804231310,OpenStreetMap
E.S.I Dispensary,Govt Dispensary,Idukki,,"Vellayamkudi, Kattappana, 685515",,,,Ministry of Labour and employment,9.7697841,77.09539,node/9221945040,OpenStreetMap
E.S.I Hospital,Hospital,Thrissur,,"Amballur, 680302",,,,government,10.4319614,76.2773807,way/952232886,OpenStreetMap
ECHS Clinic,Clinic,Kozhikode,,"Kannur Rd, West Hill, Kozhikode, Kerala, Old NH17 Road, Calicut, 673005",+91-495 238 4437,echspolyclinicclt@gmail.com,,Military,11.289159,75.7669635,way/698850083,OpenStreetMap
ECHS POLYCLINIC,Hospital,Kottayam,,,+91-481 2372661,,,government,9.5860683,76.5837421,node/8419808840,OpenStreetMap
"ECHS Polyclinic, Kundara,Kollam",Hospital,Kollam,,,,,,Department of Health services,8.9659474,76.671143,node/7499298032,OpenStreetMap
Edamon PHC,Primary Health Centre (PHC),Pathanamthitta,,,,,,,9.4413302,76.8139814,node/8659728883,OpenStreetMap
Elappully Government Hospital (2),Hospital,Palakkad,,,,,,,10.7561085,76.7452228,way/798794279,OpenStreetMap
Elappully Government Taluk Hospital,Taluk Hospital,Palakkad,,,,,,,10.7565242,76.7449551,way/798793680,OpenStreetMap
Employees State Insurance Hospital,Hospital,Kollam,,,,,,Employees' State Insurance,8.8768882,76.6099102,way/846963893,OpenStreetMap
ESI Dispensary,Govt Dispensary,Kollam,,,,,,Employees' State Insurance,8.8768934,76.6100816,node/7903276311,OpenStreetMap
ESI Dispensary,Govt Dispensary,Thiruvananthapuram,,,,,,Employees' State Insurance,8.4806983,76.9709153,node/8318400134,OpenStreetMap
ESI Dispensary,Govt Dispensary,Ernakulam,,,,,,Employees' State Insurance,10.115693,76.4705947,way/827583298,OpenStreetMap
ESI Dispensary Angamaly,Govt Dispensary,Ernakulam,,"Joseph Plaza Shopping Complex, Angamaly, 683572",,,,Employees' State Insurance,10.1909855,76.3883808,node/10677799391,OpenStreetMap
ESI Dispensary Kasaragod,Govt Dispensary,Kasaragod,,"THERUVATH, KASARAGOD, 671121",,,,Department of Helth Service,12.4917749,74.9884491,node/7472721911,OpenStreetMap
ESI Dispensary Mangattuparambu,Govt Dispensary,Kannur,,,,,,Employees' State Insurance,11.9919084,75.3720642,node/10023267815,OpenStreetMap
"ESI Dispensary, Kottiyam",Govt Dispensary,Kollam,,,,,,Employees' State Insurance,8.8667693,76.6671954,way/865250974,OpenStreetMap
ESI Hospital,Hospital,Palakkad,,,,,,Employees' State Insurance,10.7876921,76.6401767,way/464126408,OpenStreetMap
ESI Hospital,Hospital,Thrissur,,,,,,Employees' State Insurance,10.5171764,76.1829079,way/625703453,OpenStreetMap
ESI Hospital,Hospital,Ernakulam,,,,,,Employees' State Insurance,9.994072,76.2853802,way/756929577,OpenStreetMap
ESI Hospital,Hospital,Kollam,,"Kollam - Teni Highway, sasthamcotta, 690520",,,,government,9.0663839,76.6384781,way/955319829,OpenStreetMap
Esi Hospital Perayam,Hospital,Kollam,,,,,,Employees' State Insurance,8.9863749,76.6765344,way/956135894,OpenStreetMap
"ESI Hospital, Vadavathoor",Hospital,Kottayam,,Vadavathoor_MRF Road,,,,Employees' State Insurance,9.6011629,76.5624014,way/938866243,OpenStreetMap
Extension centre,Yes,Kottayam,,,,,,Government,9.5466965,76.8431199,node/8387712838,OpenStreetMap
F amily Welfare Centre Kodakkad,Health_Centre,Kasaragod,,"Chembakanam-Vellachal, kodakkad, 671310",,,,government,12.2035846,75.1916679,way/1036023991,OpenStreetMap
F. R. U. District Hospital Kottayam,District Hospital,Kottayam,,"KK Road, Kottayam, 686001",,,,,9.5895038,76.5266508,node/7476606029,OpenStreetMap
Family  Health Centre Vakkom,Hospital,Thiruvananthapuram,,,,,,eHealth,8.6880092,76.7510167,way/945155370,OpenStreetMap
Family  Health Centre Veli,Hospital,Thiruvananthapuram,,,,,,Department of Health services,8.5152596,76.8830139,way/800723021,OpenStreetMap
Family Health  Centre Pozhuthana,Family Health Centre (FHC),Wayanad,,"FHC, Pozhuthana, Pozhuthana, 673575",,,,Department of Health Services,11.5875559,76.0217248,way/799300979,OpenStreetMap
Family Health Care,Family Health Centre (FHC),Ernakulam,,"NH85, Old Bus Stand Road, Thrippunithura, 682301",,,,,9.9489684,76.3473354,node/9401734870,OpenStreetMap
Family Health Care Centre,Family Health Centre (FHC),Thiruvananthapuram,,,,,,,8.4970601,77.1104418,node/8573995195,OpenStreetMap
"Family Health Care Clinic, Kadapadi",Family Health Centre (FHC),Malappuram,,"Peruvallur, 673638",,,,,11.1130825,75.9465294,way/1022165277,OpenStreetMap
Family Health Cente Karalam,Family Health Centre (FHC),Thrissur,,,,,,,10.4018243,76.1887718,way/801347234,OpenStreetMap
family health center,Family Health Centre (FHC),Kozhikode,,,,,,,11.3638787,75.8239637,node/9170904755,OpenStreetMap
Family Health Center,Family Health Centre (FHC),Thrissur,,,,,,,10.641683,76.1750064,way/1023888631,OpenStreetMap
"Family Health Center , Elampalloor",Family Health Centre (FHC),Kollam,,"0474-2547361, 691504",,,,Department of Health Services,8.9263673,76.6702488,way/799563541,OpenStreetMap
FAMILY HEALTH CENTER CHATHURANGAPPARA,Family Health Centre (FHC),Idukki,,,,,,,9.8927455,77.2100633,way/962314854,OpenStreetMap
Family Health center chennad,Family Health Centre (FHC),Kottayam,,"Erattupetta - Chennad Road, Chennad, 686581",,,,Health department,9.6393844,76.8178219,way/1102306426,OpenStreetMap
Family Health Center Chethalayam,Family Health Centre (FHC),Wayanad,,,,,,Department of Health Services,11.7481484,76.237039,way/799306961,OpenStreetMap
Family Health Center Desamangalam,Family Health Centre (FHC),Thrissur,,"DESAMANGALAM, 679532",,,,,10.7545069,76.2311832,way/946709207,OpenStreetMap
Family Health Center Edacheri,Family Health Centre (FHC),Kozhikode,,,,,,Department of Health and Family Welfare,11.7011858,75.6094219,way/973214230,OpenStreetMap
Family Health Center Edalamkunn,Family Health Centre (FHC),Thrissur,,,,,,,10.6999077,76.2755817,way/1080683261,OpenStreetMap
Family Health Center Edalamkunn Ground,Family Health Centre (FHC),Thrissur,,,,,,,10.6998333,76.2754503,node/9905316947,OpenStreetMap
Family Health Center Edamala,Family Health Centre (FHC),Kottayam,,"Poonjar - Kunnonni Road, edamala, 686582",,,,Health department,9.6628082,76.8448416,way/1100991897,OpenStreetMap
Family health center Kamakshy,Family Health Centre (FHC),Idukki,,,,,,,9.8325993,77.0438521,node/8858728317,OpenStreetMap
Family Health Center Kanjikkuzhi,Family Health Centre (FHC),Alappuzha,,,,,,,9.6438107,76.3482075,way/976363984,OpenStreetMap
Family Health Center Kizhakkenchery,Family Health Centre (FHC),Palakkad,,,,,,,10.5682269,76.4904023,node/8897609331,OpenStreetMap
Family Health Center kootakall valathuk,Family Health Centre (FHC),Kottayam,,"Poonjar - Kunnonni Road, Kootall, 686581",,,,Health Department,9.6502077,76.8224745,way/1102313194,OpenStreetMap
Family Health Center Kumaramputhur,Family Health Centre (FHC),Palakkad,,,,,,Department of Health and Family Welfare,11.0170538,76.4259722,way/978022470,OpenStreetMap
Family Health Center Kumbidi,Family Health Centre (FHC),Palakkad,,,,,,Department of Health and Family Welfare,10.8305907,76.0521849,node/8882229417,OpenStreetMap
Family Health Center Kuthannur,Family Health Centre (FHC),Palakkad,,,,,,,10.7310178,76.5445521,node/8897687027,OpenStreetMap
